lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
R. Harper | M. Jordan | S. Pippen | D. Rodman CHI 1997,847.05,9.3,4.1,4.4,0.022000000000000002,-1.0,-1.3,-0.026000000000000002,0.016,1.8,1.2,0.045,5.1,10.7,6.1,10.7,5.6,11.0,5.7,0.1,1.5,0.1,-1.0,"harpero01, jordami01, pippesc01, rodmade01",4,1997,CHI
R. Harper | M. Jordan | L. Longley | S. Pippen CHI 1997,760.05,12.1,5.4,3.3,0.040999999999999995,-0.1,-0.2,0.001,0.039,0.9,0.6,0.027999999999999997,2.6,7.0,4.9,7.0,3.8,7.8,6.9,0.3,0.9,-1.2,0.3,"harpero01, jordami01, longllu01, pippesc01",4,1997,CHI
M. Jordan | L. Longley | S. Pippen | D. Rodman CHI 1997,612.2666666666667,13.4,6.7,5.2,0.046,-0.9,-1.2,-0.02,0.039,0.7,0.1,0.031,4.9,11.3,6.6,11.3,5.7,11.9,7.3,0.2,0.3,0.0,-0.5,"jordami01, longllu01, pippesc01, rodmade01",4,1997,CHI
R. Harper | L. Longley | S. Pippen | D. Rodman CHI 1997,451.8666666666667,10.0,4.5,2.7,0.034,-1.4,-0.9,-0.051,0.026000000000000002,2.1,1.0,0.077,3.7,9.6,6.5,9.6,5.2,10.5,6.7,-0.1,0.6,0.9,-0.4,"harpero01, longllu01, pippesc01, rodmade01",4,1997,CHI
R. Harper | M. Jordan | L. Longley | D. Rodman CHI 1997,438.06666666666666,10.5,4.9,1.8,0.042,-1.2,-1.1,-0.039,0.035,1.6,0.3,0.076,3.0,8.9,7.1,8.9,5.1,10.2,6.7,-0.6,0.7,1.5,-0.3,"harpero01, jordami01, longllu01, rodmade01",4,1997,CHI
M. Jordan | T. Kukoč | S. Pippen | D. Rodman CHI 1997,390.23333333333335,29.1,11.2,8.7,0.078,2.1,1.2,0.087,0.087,4.5,4.8,0.045,4.5,9.8,4.3,9.8,4.4,9.8,11.2,4.9,1.5,-6.8,-1.9,"jordami01, kukocto01, pippesc01, rodmade01",4,1997,CHI
M. Jordan | S. Kerr | S. Pippen | D. Rodman CHI 1997,367.05,31.6,11.4,7.6,0.091,4.2,2.6,0.16399999999999998,0.11199999999999999,4.8,6.9,-0.012,5.2,12.6,7.5,12.6,5.9,12.7,9.5,3.9,2.0,-6.4,-3.2,"jordami01, kerrst01, pippesc01, rodmade01",4,1997,CHI
J. Caffey | M. Jordan | L. Longley | S. Pippen CHI 1997,341.31666666666666,10.5,3.2,-0.3,0.036000000000000004,0.5,-0.2,0.03,0.039,3.6,3.3,0.055999999999999994,2.2,7.1,5.9,7.1,4.1,8.7,6.1,0.1,1.5,0.4,-0.2,"caffeja01, jordami01, longllu01, pippesc01",4,1997,CHI
M. Jordan | S. Kerr | T. Kukoč | S. Pippen CHI 1997,336.8333333333333,10.0,5.1,4.5,0.035,3.9,6.9,0.08900000000000001,0.055,-4.8,-5.6,-0.021,-2.0,-2.6,0.5,-2.6,-1.5,-3.2,7.2,3.0,1.4,-4.4,-1.1,"jordami01, kerrst01, kukocto01, pippesc01",4,1997,CHI
M. Jordan | S. Pippen | D. Rodman | B. Wennington CHI 1997,328.76666666666665,3.5,1.5,5.6,-0.01,-1.0,-1.7,-0.017,-0.018000000000000002,1.4,1.8,0.001,4.1,7.4,2.9,7.4,3.4,6.8,2.8,-0.4,0.5,-2.2,-1.1,"jordami01, pippesc01, rodmade01, wennibi01",4,1997,CHI
M. Jordan | T. Kukoč | L. Longley | S. Pippen CHI 1997,311.15,4.7,3.2,1.7,0.027000000000000003,-0.4,1.1,-0.049,0.024,-1.9,-2.2,-0.015,-3.4,-6.8,-2.1,-6.8,-2.9,-6.6,5.4,2.8,-0.6,-4.4,-0.1,"jordami01, kukocto01, longllu01, pippesc01",4,1997,CHI
J. Caffey | R. Harper | M. Jordan | S. Pippen CHI 1997,303.8666666666667,14.9,6.5,2.8,0.057,0.9,-1.0,0.071,0.06,1.0,3.1,-0.07,4.4,12.1,8.1,12.1,6.4,14.0,5.6,-0.6,2.0,-0.5,0.2,"caffeja01, harpero01, jordami01, pippesc01",4,1997,CHI
R. Harper | M. Jordan | S. Pippen | B. Wennington CHI 1997,274.1166666666667,-2.6,-1.8,3.2,-0.033,-2.0,-3.3,-0.034,-0.046,3.0,3.9,-0.006999999999999999,5.1,8.1,1.9,8.1,3.4,6.9,-0.1,0.1,1.0,-0.3,-1.8,"harpero01, jordami01, pippesc01, wennibi01",4,1997,CHI
J. Caffey | R. Harper | L. Longley | S. Pippen CHI 1997,240.4,14.3,5.5,5.3,0.034,1.7,1.3,0.063,0.040999999999999995,1.5,3.0,-0.043,5.5,11.3,4.5,11.3,5.0,10.8,6.2,1.1,2.1,-2.1,0.1,"caffeja01, harpero01, longllu01, pippesc01",4,1997,CHI
R. Harper | S. Pippen | D. Rodman | B. Wennington CHI 1997,237.05,-8.8,-2.9,6.1,-0.057999999999999996,-1.5,-1.0,-0.055999999999999994,-0.068,-1.4,-1.7,-0.003,6.5,8.2,-0.2,8.2,3.0,6.0,-0.2,-0.6,1.0,0.3,-0.7,"harpero01, pippesc01, rodmade01, wennibi01",4,1997,CHI
R. Harper | M. Jordan | D. Rodman | B. Wennington CHI 1997,231.35,-9.8,-3.5,5.5,-0.061,-2.2,-2.1,-0.071,-0.07400000000000001,-0.6,-0.9,0.004,6.0,7.3,-0.6,7.3,2.6,5.1,-1.0,-0.9,1.5,0.6,-0.8,"harpero01, jordami01, rodmade01, wennibi01",4,1997,CHI
M. Jordan | S. Kerr | T. Kukoč | D. Rodman CHI 1997,229.38333333333333,30.8,10.2,4.7,0.092,4.5,5.5,0.145,0.11599999999999999,5.9,6.7,0.035,2.8,6.8,4.0,6.8,2.9,6.2,10.3,5.2,3.1,-6.1,-4.5,"jordami01, kerrst01, kukocto01, rodmade01",4,1997,CHI
R. Harper | M. Jordan | T. Kukoč | S. Pippen CHI 1997,226.48333333333332,17.7,5.7,3.1,0.048,0.6,0.0,0.038,0.05,4.7,3.4,0.094,-2.5,-3.0,1.0,-3.0,-0.8,-1.9,8.9,3.1,-0.6,-8.0,-1.4,"harpero01, jordami01, kukocto01, pippesc01",4,1997,CHI
J. Caffey | M. Jordan | S. Kerr | S. Pippen CHI 1997,224.76666666666668,6.6,1.5,1.3,0.01,-1.5,-0.9,-0.057999999999999996,0.001,2.8,3.4,0.0,-1.8,-4.7,-3.0,-4.7,-2.4,-5.2,4.9,2.2,0.0,-4.3,-2.3,"caffeja01, jordami01, kerrst01, pippesc01",4,1997,CHI
M. Jordan | S. Kerr | L. Longley | S. Pippen CHI 1997,224.21666666666667,0.0,1.1,-2.6,0.026000000000000002,0.0,1.0,-0.015,0.027000000000000003,-2.1,-1.6,-0.031,-1.1,-1.2,0.6,-1.2,-0.6,-1.3,3.3,-1.1,2.3,1.8,-0.8,"jordami01, kerrst01, longllu01, pippesc01",4,1997,CHI
R. Harper | M. Jordan | T. Kukoč | D. Rodman CHI 1998,868.0666666666667,11.8,4.0,2.8,0.03,-0.8,-3.5,0.033,0.025,4.3,6.6,-0.018000000000000002,5.2,11.7,6.3,11.7,5.7,11.9,4.9,0.3,-0.6,-0.1,-2.8,"harpero01, jordami01, kukocto01, rodmade01",4,1998,CHI
R. Harper | M. Jordan | L. Longley | D. Rodman CHI 1998,789.7333333333333,9.7,4.9,4.2,0.033,-2.1,-4.6,-0.055999999999999994,0.02,1.9,1.1,0.055,4.7,11.1,6.4,11.1,5.5,11.6,3.7,-0.4,-1.1,0.3,-1.8,"harpero01, jordami01, longllu01, rodmade01",4,1998,CHI
R. Harper | M. Jordan | S. Pippen | D. Rodman CHI 1998,708.0166666666667,13.2,6.3,6.2,0.037000000000000005,-1.8,-2.7,-0.064,0.025,2.3,1.4,0.059000000000000004,4.1,10.4,5.3,10.4,4.7,10.8,3.8,1.5,-1.2,-2.5,-2.4,"harpero01, jordami01, pippesc01, rodmade01",4,1998,CHI
M. Jordan | T. Kukoč | L. Longley | D. Rodman CHI 1998,596.4833333333333,7.9,3.6,2.0,0.028999999999999998,-1.0,-5.0,0.055999999999999994,0.023,1.8,1.5,0.034,4.0,10.6,7.1,10.6,5.4,11.3,4.2,-1.1,0.6,1.7,-1.9,"jordami01, kukocto01, longllu01, rodmade01",4,1998,CHI
R. Harper | M. Jordan | T. Kukoč | L. Longley CHI 1998,568.4166666666666,8.1,3.2,-0.6,0.038,-1.7,-5.9,0.027999999999999997,0.028999999999999998,3.3,3.0,0.06,1.3,5.4,5.2,5.4,3.2,6.7,2.8,-1.0,0.4,1.3,-1.3,"harpero01, jordami01, kukocto01, longllu01",4,1998,CHI
R. Harper | T. Kukoč | L. Longley | D. Rodman CHI 1998,422.53333333333336,12.3,4.3,0.1,0.045,-1.2,-6.2,0.091,0.039,5.0,5.6,0.053,4.1,11.3,8.3,11.3,6.2,12.6,3.8,-1.3,0.0,2.0,-2.7,"harpero01, kukocto01, longllu01, rodmade01",4,1998,CHI
R. Harper | M. Jordan | T. Kukoč | S. Pippen CHI 1998,416.3333333333333,16.6,7.7,6.5,0.051,-1.5,-2.7,-0.042,0.040999999999999995,2.7,2.5,0.048,3.2,7.8,3.8,7.8,3.4,7.9,6.8,2.5,-0.2,-3.9,-1.7,"harpero01, jordami01, kukocto01, pippesc01",4,1998,CHI
M. Jordan | T. Kukoč | S. Pippen | D. Rodman CHI 1998,415.28333333333336,20.2,7.9,7.2,0.05,0.2,-0.6,0.027999999999999997,0.049,4.3,5.0,0.027999999999999997,6.6,15.2,7.6,15.2,7.0,15.4,7.0,1.4,-0.5,-2.2,-3.0,"jordami01, kukocto01, pippesc01, rodmade01",4,1998,CHI
R. Harper | M. Jordan | L. Longley | S. Pippen CHI 1998,393.4166666666667,6.8,5.3,7.7,0.019,-3.2,-2.5,-0.18600000000000003,-0.002,-0.6,-4.4,0.135,3.1,5.7,1.3,5.7,2.2,4.9,3.3,0.1,-1.2,-2.2,0.1,"harpero01, jordami01, longllu01, pippesc01",4,1998,CHI
M. Jordan | L. Longley | S. Pippen | D. Rodman CHI 1998,348.55,6.4,4.2,6.1,0.016,-3.7,-3.5,-0.17800000000000002,-0.006999999999999999,1.7,-2.7,0.149,4.3,10.1,5.6,10.1,4.8,10.4,2.7,-0.2,-1.9,-0.8,-1.6,"jordami01, longllu01, pippesc01, rodmade01",4,1998,CHI
R. Harper | T. Kukoč | S. Pippen | D. Rodman CHI 1998,293.43333333333334,20.3,9.0,9.6,0.048,-0.4,-1.7,0.018000000000000002,0.043,2.8,4.5,-0.027999999999999997,7.4,16.7,6.6,16.7,6.9,16.1,7.5,3.0,-1.0,-3.7,-3.2,"harpero01, kukocto01, pippesc01, rodmade01",4,1998,CHI
R. Harper | L. Longley | S. Pippen | D. Rodman CHI 1998,286.3833333333333,8.2,5.2,7.0,0.021,-3.8,-3.7,-0.218,-0.002,1.5,-1.7,0.136,4.7,10.0,4.2,10.0,4.4,9.6,2.2,0.6,-2.8,-1.6,-2.1,"harpero01, longllu01, pippesc01, rodmade01",4,1998,CHI
M. Jordan | S. Kerr | T. Kukoč | D. Rodman CHI 1998,251.73333333333332,1.5,-2.2,0.4,-0.027999999999999997,0.9,3.3,0.01,-0.022000000000000002,5.0,1.7,0.114,2.9,6.0,2.8,6.0,2.6,5.3,1.7,-3.0,1.8,1.7,-1.9,"jordami01, kerrst01, kukocto01, rodmade01",4,1998,CHI
R. Brown | M. Jordan | T. Kukoč | D. Rodman CHI 1998,187.4,-0.7,4.4,6.1,0.023,-1.6,-5.6,-0.015,0.013000000000000001,-8.0,-8.2,-0.055999999999999994,1.9,2.0,-1.0,2.0,0.7,1.5,4.0,1.7,0.2,0.2,2.0,"brownra02, jordami01, kukocto01, rodmade01",4,1998,CHI
M. Jordan | T. Kukoč | L. Longley | S. Pippen CHI 1998,186.23333333333332,9.3,5.1,5.2,0.031,-1.8,-1.8,-0.073,0.019,0.8,-2.9,0.114,3.1,7.2,2.9,7.2,2.8,6.6,5.0,-0.8,0.4,-0.9,0.4,"jordami01, kukocto01, longllu01, pippesc01",4,1998,CHI
R. Harper | M. Jordan | D. Rodman | B. Wennington CHI 1998,169.8,0.0,0.2,3.2,-0.013000000000000001,-0.7,-6.3,0.13,-0.017,0.2,0.1,0.004,2.1,2.2,-1.6,2.2,0.2,0.3,3.8,0.4,-0.9,-1.7,-1.2,"harpero01, jordami01, rodmade01, wennibi01",4,1998,CHI
M. Jordan | S. Kerr | S. Pippen | D. Rodman CHI 1998,158.36666666666667,10.6,1.5,3.1,0.002,3.2,5.2,0.08800000000000001,0.02,4.3,0.5,0.11599999999999999,0.4,0.2,-0.5,0.2,0.0,0.0,4.6,0.6,2.5,-2.1,-0.3,"jordami01, kerrst01, pippesc01, rodmade01",4,1998,CHI
S. Burrell | M. Jordan | T. Kukoč | D. Rodman CHI 1998,157.3,17.5,3.1,-1.5,0.04,1.8,2.9,0.047,0.051,9.6,7.2,0.142,3.3,8.8,6.4,8.8,4.9,10.1,4.0,-2.8,2.4,3.9,-2.4,"burresc01, jordami01, kukocto01, rodmade01",4,1998,CHI
S. Burrell | M. Jordan | S. Kerr | D. Rodman CHI 1998,152.05,10.0,3.2,10.2,-0.015,5.0,8.1,0.163,0.01,-1.3,-3.9,0.040999999999999995,5.9,6.0,-3.3,6.0,1.3,2.7,7.6,-0.3,0.8,-1.9,-1.6,"burresc01, jordami01, kerrst01, rodmade01",4,1998,CHI
R. Brown | M. Jordan | L. Longley | D. Rodman CHI 1998,141.93333333333334,-9.7,2.3,9.4,-0.022000000000000002,-2.3,-5.7,-0.10300000000000001,-0.037000000000000005,-12.1,-13.6,-0.037000000000000005,2.5,3.5,-0.5,3.5,0.9,2.1,9.2,3.0,0.0,-0.9,0.9,"brownra02, jordami01, longllu01, rodmade01",4,1998,CHI
B. Barry | R. Brown | T. Kukoč | D. Simpkins CHI 1999,318.6,-3.1,-4.0,-6.1,-0.017,-0.4,2.5,-0.078,-0.017,5.4,7.1,0.006999999999999999,-0.5,-0.8,-0.1,-0.8,-0.4,-0.9,-0.8,-1.0,-2.9,2.1,-2.1,"barrybr01, brownra02, kukocto01, simpkdi01",4,1999,CHI
R. Brown | R. Harper | T. Kukoč | D. Simpkins CHI 1999,304.6666666666667,1.2,-2.1,1.6,-0.032,1.7,2.3,0.075,-0.022000000000000002,1.6,4.2,-0.066,2.8,1.5,-4.7,1.5,-1.0,-2.1,0.2,0.7,-2.4,-1.4,-2.0,"brownra02, harpero01, kukocto01, simpkdi01",4,1999,CHI
B. Barry | R. Harper | T. Kukoč | D. Simpkins CHI 1999,213.73333333333332,3.2,-1.7,-5.2,0.006999999999999999,1.0,5.2,-0.034,0.013999999999999999,5.7,7.9,0.0,1.5,3.9,2.5,3.9,2.0,4.4,1.5,-2.7,-1.0,3.0,-2.7,"barrybr01, harpero01, kukocto01, simpkdi01",4,1999,CHI
B. Barry | R. Brown | R. Harper | T. Kukoč CHI 1999,205.56666666666666,-7.2,-6.4,-5.7,-0.044000000000000004,-0.5,4.5,-0.105,-0.045,6.0,9.7,-0.045,-1.7,-6.5,-6.1,-6.5,-3.8,-8.4,-0.3,0.9,-0.5,-0.9,-2.2,"barrybr01, brownra02, harpero01, kukocto01",4,1999,CHI
B. Barry | M. Bryant | T. Kukoč | D. Simpkins CHI 1999,205.05,-9.7,-4.7,-1.1,-0.051,-1.3,1.6,-0.124,-0.057999999999999996,0.9,1.4,-0.004,3.8,8.2,3.8,8.2,3.5,7.5,-3.8,-2.9,-2.8,4.5,-1.2,"barrybr01, bryanma01, kukocto01, simpkdi01",4,1999,CHI
R. Brown | M. Bryant | T. Kukoč | D. Simpkins CHI 1999,183.28333333333333,-20.2,-7.8,4.2,-0.111,-1.2,-0.7,-0.091,-0.11900000000000001,-3.4,0.7,-0.13,7.5,9.0,-3.9,9.0,1.8,3.6,-6.6,-2.9,-5.0,1.7,1.5,"brownra02, bryanma01, kukocto01, simpkdi01",4,1999,CHI
B. Barry | R. Brown | R. Harper | D. Simpkins CHI 1999,181.28333333333333,-2.6,-5.9,-7.3,-0.027999999999999997,-1.1,1.8,-0.109,-0.033,10.3,14.1,0.003,-1.4,-4.7,-4.0,-4.7,-2.6,-5.7,-1.3,0.2,-2.9,-0.8,-4.1,"barrybr01, brownra02, harpero01, simpkdi01",4,1999,CHI
B. Barry | R. Brown | M. Bryant | D. Simpkins CHI 1999,180.23333333333332,-18.9,-9.8,-1.7,-0.106,-2.5,-4.2,-0.07200000000000001,-0.12,3.1,6.5,-0.057,2.6,0.4,-5.2,0.4,-1.5,-3.1,-8.0,-1.5,-5.5,0.5,-1.2,"barrybr01, brownra02, bryanma01, simpkdi01",4,1999,CHI
B. Barry | M. Bryant | R. Harper | T. Kukoč CHI 1999,166.63333333333333,4.8,-0.4,1.3,-0.01,1.2,8.8,-0.073,-0.004,4.4,6.8,-0.027000000000000003,3.5,6.3,2.7,6.3,2.8,5.5,0.4,1.0,-0.2,-1.5,-2.0,"barrybr01, bryanma01, harpero01, kukocto01",4,1999,CHI
B. Barry | R. Brown | M. Bryant | T. Kukoč CHI 1999,146.41666666666666,-13.1,-6.8,-3.4,-0.066,-2.6,0.2,-0.17800000000000002,-0.081,3.2,4.4,-0.001,-0.1,0.6,1.1,0.6,0.2,0.4,-5.1,0.3,-3.1,0.5,-2.2,"barrybr01, brownra02, bryanma01, kukocto01",4,1999,CHI
M. Bryant | R. Harper | T. Kukoč | A. Lang CHI 1999,132.45,6.2,0.4,2.9,-0.009000000000000001,1.8,2.5,0.073,0.0,3.4,7.5,-0.095,3.8,3.9,-2.9,3.9,0.7,1.4,3.2,2.4,-2.7,-2.8,-0.4,"bryanma01, harpero01, kukocto01, langan01",4,1999,CHI
B. Barry | R. Harper | T. Kukoč | A. Lang CHI 1999,131.93333333333334,-8.5,-7.3,3.8,-0.098,0.0,2.7,-0.063,-0.098,6.1,11.3,-0.096,7.8,6.6,-7.5,6.6,0.2,0.4,-6.2,2.9,-4.3,-3.7,1.9,"barrybr01, harpero01, kukocto01, langan01",4,1999,CHI
M. Bryant | R. Harper | T. Kukoč | D. Simpkins CHI 1999,123.48333333333333,-9.6,-1.0,6.3,-0.04,0.5,6.1,-0.10400000000000001,-0.039,-8.0,-8.4,-0.083,7.9,12.4,1.4,12.4,4.7,9.6,-1.1,-6.6,-0.9,5.3,1.7,"bryanma01, harpero01, kukocto01, simpkdi01",4,1999,CHI
R. Brown | M. Bryant | R. Harper | T. Kukoč CHI 1999,113.41666666666667,-5.9,-1.0,9.9,-0.057999999999999996,-0.5,5.4,-0.161,-0.063,-3.5,-0.5,-0.11199999999999999,8.4,10.4,-5.0,10.4,1.7,3.6,4.0,1.5,-3.5,-2.0,-1.0,"brownra02, bryanma01, harpero01, kukocto01",4,1999,CHI
R. Harper | T. Kukoč | R. LaRue | D. Simpkins CHI 1999,112.28333333333333,-3.8,-1.0,-3.5,0.008,-0.4,1.1,-0.051,0.006,-3.2,-3.1,-0.035,-2.8,-7.5,-3.6,-7.5,-3.1,-7.8,-2.6,-3.4,-4.8,2.0,-2.4,"harpero01, kukocto01, larueru01, simpkdi01",4,1999,CHI
R. Brown | R. Harper | T. Kukoč | A. Lang CHI 1999,110.01666666666667,2.1,1.8,6.2,-0.012,-0.5,-1.0,-0.018000000000000002,-0.016,-1.0,4.3,-0.187,2.7,0.1,-7.4,0.1,-2.3,-5.2,8.4,4.1,-2.6,-6.7,-0.8,"brownra02, harpero01, kukocto01, langan01",4,1999,CHI
B. Barry | M. Bryant | T. Kukoč | A. Lang CHI 1999,98.56666666666666,-4.0,-6.7,0.0,-0.071,2.3,4.7,0.062,-0.059000000000000004,7.0,12.2,-0.107,4.7,4.1,-3.1,4.1,0.9,1.6,-7.3,1.7,-1.7,-1.6,-2.6,"barrybr01, bryanma01, kukocto01, langan01",4,1999,CHI
R. Brown | K. Dávid | T. Kukoč | D. Simpkins CHI 1999,96.5,-10.8,-5.1,1.7,-0.067,-0.2,-0.1,-0.012,-0.068,-6.6,-7.9,-0.019,3.1,3.8,-2.4,3.8,-0.3,-0.6,-1.5,-0.1,-3.9,3.5,2.4,"brownra02, davidko01, kukocto01, simpkdi01",4,1999,CHI
R. Brown | M. Bryant | R. Harper | D. Simpkins CHI 1999,87.95,-25.2,-9.4,8.4,-0.146,-3.6,-2.3,-0.28600000000000003,-0.16899999999999998,-2.9,1.5,-0.166,10.0,9.4,-8.4,9.4,0.9,1.9,-8.9,-3.2,-6.8,-0.4,-0.9,"brownra02, bryanma01, harpero01, simpkdi01",4,1999,CHI
B. Barry | M. Bryant | R. Harper | A. Lang CHI 1999,86.75,4.5,-5.6,0.6,-0.065,2.6,4.6,0.081,-0.051,13.1,19.0,-0.054000000000000006,6.6,8.2,-1.5,8.2,2.6,5.3,-7.6,4.5,-3.9,-3.8,-2.9,"barrybr01, bryanma01, harpero01, langan01",4,1999,CHI
M. World Peace | E. Brand | R. Brown | D. Simpkins CHI 2000,349.8,-23.4,-9.7,-7.1,-0.07400000000000001,-1.5,-5.1,0.011000000000000001,-0.08,-2.6,3.3,-0.221,1.2,0.0,-3.0,0.0,-1.1,-2.4,-5.8,-5.9,-3.0,6.1,-0.5,"artesro01, brandel01, brownra02, simpkdi01",4,2000,CHI
M. World Peace | E. Brand | R. Brown | H. Hawkins CHI 2000,344.3666666666667,-23.9,-10.0,-6.1,-0.087,-1.5,-2.4,-0.069,-0.094,-2.3,-1.0,-0.059000000000000004,-0.6,-2.4,-2.5,-2.4,-1.5,-3.3,-6.5,-3.5,-2.8,5.2,2.4,"artesro01, brandel01, brownra02, hawkihe01",4,2000,CHI
E. Brand | R. Brown | H. Hawkins | D. Simpkins CHI 2000,330.23333333333335,-24.8,-11.7,-12.0,-0.077,-0.7,-4.7,0.08199999999999999,-0.079,-0.6,1.6,-0.07200000000000001,-1.9,-4.0,-1.9,-4.0,-2.2,-4.7,-6.0,-6.8,-5.1,8.2,-0.4,"brandel01, brownra02, hawkihe01, simpkdi01",4,2000,CHI
M. World Peace | E. Brand | T. Kukoč | D. Simpkins CHI 2000,316.48333333333335,-5.9,-4.1,-6.6,-0.013999999999999999,-2.2,-4.8,-0.027000000000000003,-0.023,4.6,6.8,-0.002,-0.3,-0.7,-0.4,-0.7,-0.4,-0.9,-3.1,-2.2,-0.1,3.5,-3.0,"artesro01, brandel01, kukocto01, simpkdi01",4,2000,CHI
M. World Peace | E. Brand | R. Brown | T. Kukoč CHI 2000,230.0,-14.4,-9.7,-8.5,-0.064,-2.4,-6.1,-0.04,-0.075,7.3,10.2,-0.013999999999999999,-2.8,-8.1,-5.4,-8.1,-4.1,-9.0,-10.2,-0.9,-1.7,1.4,-2.5,"artesro01, brandel01, brownra02, kukocto01",4,2000,CHI
E. Brand | R. Brown | H. Hawkins | W. Perdue CHI 2000,205.3,-25.8,-13.3,-5.9,-0.122,-2.0,-1.7,-0.149,-0.132,2.9,1.9,0.051,1.5,-2.9,-6.7,-2.9,-2.5,-5.2,-12.7,-4.6,-4.5,5.9,2.2,"brandel01, brownra02, hawkihe01, perduwi01",4,2000,CHI
M. World Peace | E. Brand | H. Hawkins | D. Simpkins CHI 2000,200.23333333333332,-19.5,-7.6,-4.1,-0.066,0.8,0.5,0.051,-0.06,-5.1,0.8,-0.275,1.6,1.3,-2.7,1.3,-0.5,-1.1,-3.5,-4.3,-3.5,4.1,1.8,"artesro01, brandel01, hawkihe01, simpkdi01",4,2000,CHI
M. World Peace | E. Brand | T. Kukoč | M. Maloney CHI 2000,196.31666666666666,5.2,1.1,-0.8,0.017,0.4,1.0,0.006999999999999999,0.02,2.5,3.7,-0.003,-1.1,-1.8,-0.1,-1.8,-0.8,-1.8,-1.4,0.2,-0.7,-1.4,-2.6,"artesro01, brandel01, kukocto01, malonma01",4,2000,CHI
M. World Peace | E. Brand | M. Maloney | D. Simpkins CHI 2000,195.11666666666667,-4.8,-3.4,-2.9,-0.025,-0.4,-0.7,-0.012,-0.027000000000000003,1.9,2.0,0.022000000000000002,-2.9,-6.6,-4.1,-6.6,-3.7,-7.6,-2.3,0.5,0.1,0.2,-4.0,"artesro01, brandel01, malonma01, simpkdi01",4,2000,CHI
E. Brand | R. Brown | T. Kukoč | D. Simpkins CHI 2000,177.3,-24.2,-12.4,-7.1,-0.102,-2.6,-8.0,0.01,-0.114,3.2,5.4,-0.036000000000000004,-1.5,-8.5,-8.1,-8.5,-4.9,-10.9,-11.0,-3.0,-1.5,2.6,-2.2,"brandel01, brownra02, kukocto01, simpkdi01",4,2000,CHI
E. Brand | R. Brown | F. Hoiberg | D. Simpkins CHI 2000,175.18333333333334,-14.8,-9.7,-15.1,-0.039,-0.9,-5.5,0.08900000000000001,-0.040999999999999995,5.6,3.8,0.1,-3.3,-3.8,2.7,-3.8,-0.3,-0.7,-3.9,-7.1,-0.9,9.9,0.9,"brandel01, brownra02, hoibefr01, simpkdi01",4,2000,CHI
B. Armstrong | M. World Peace | E. Brand | D. Simpkins CHI 2000,171.86666666666667,1.2,0.3,-8.1,0.040999999999999995,2.6,2.4,0.133,0.057999999999999996,-2.0,-2.2,-0.016,0.5,4.7,6.4,4.7,3.6,7.5,-3.1,-5.2,-1.0,9.1,-0.3,"armstbj01, artesro01, brandel01, simpkdi01",4,2000,CHI
M. World Peace | C. Benjamin | E. Brand | D. Simpkins CHI 2000,170.5,2.1,1.5,-0.7,0.021,2.9,3.7,0.121,0.038,-3.8,-3.1,-0.076,2.0,3.4,0.5,3.4,1.5,3.4,-2.3,-0.6,0.4,4.5,-0.3,"artesro01, benjaco01, brandel01, simpkdi01",4,2000,CHI
M. World Peace | E. Brand | R. Brown | W. Perdue CHI 2000,166.73333333333332,-22.3,-12.0,-6.9,-0.099,-1.9,-1.9,-0.135,-0.10800000000000001,3.7,5.7,-0.013999999999999999,1.1,-2.9,-6.4,-2.9,-2.6,-5.4,-13.7,-3.3,1.2,4.6,0.3,"artesro01, brandel01, brownra02, perduwi01",4,2000,CHI
M. World Peace | R. Brown | H. Hawkins | D. Simpkins CHI 2000,165.65,-27.7,-10.5,-6.0,-0.094,-1.1,-4.2,0.013999999999999999,-0.099,-5.6,-0.3,-0.23600000000000002,1.4,1.3,-2.5,1.3,-1.0,-2.1,-6.2,-5.9,-3.7,6.0,0.2,"artesro01, brownra02, hawkihe01, simpkdi01",4,2000,CHI
B. Armstrong | M. World Peace | C. Benjamin | E. Brand CHI 2000,155.51666666666668,-7.8,-2.0,-2.3,-0.011000000000000001,0.5,-1.0,0.08,-0.008,-4.3,-3.4,-0.084,1.7,2.0,-0.9,2.0,0.7,1.4,-8.1,-1.6,-3.5,5.8,-0.2,"armstbj01, artesro01, benjaco01, brandel01",4,2000,CHI
E. Brand | C. Carr | H. Hawkins | M. Maloney CHI 2000,147.18333333333334,0.2,-2.1,-4.2,-0.004,4.3,5.2,0.13,0.022000000000000002,0.1,-1.4,0.035,5.2,12.5,7.9,12.5,6.3,12.5,3.5,-6.8,1.6,9.8,-1.4,"brandel01, carrch01, hawkihe01, malonma01",4,2000,CHI
M. World Peace | R. Brown | T. Kukoč | D. Simpkins CHI 2000,145.75,-18.4,-9.5,-6.3,-0.07400000000000001,-3.4,-7.9,-0.053,-0.091,4.1,7.8,-0.075,1.4,-1.0,-4.0,-1.0,-1.3,-2.9,-10.6,-3.3,-1.9,4.4,-2.3,"artesro01, brownra02, kukocto01, simpkdi01",4,2000,CHI
